pokemon,move
Squirtle,Bubble Beam
Squirtle,Flash Cannon
Squirtle,Hydro Pump
Squirtle,Hyper Beam
Squirtle,Ice Beam
Squirtle,Ice Punch
Squirtle,Iron Tail
Squirtle,Mud Shot
Squirtle,Rock Slide
Squirtle,Rock Tomb
Squirtle,Surf
Squirtle,Tackle
Squirtle,Water Gun
Squirtle,Waterfall
Wartortle,Aqua Jet
Wartortle,Aqua Tail
Wartortle,Bite
Wartortle,Blizzard
Wartortle,Bubble Beam
Wartortle,Flash Cannon
Wartortle,Hydro Pump
Wartortle,Hyper Beam
Wartortle,Ice Beam
Wartortle,Ice Punch
Wartortle,Iron Tail
Wartortle,Mud Shot
Wartortle,Rock Slide
Wartortle,Rock Tomb
Wartortle,Surf
Wartortle,Tackle
Wartortle,Water Gun
Wartortle,Waterfall
Blastoise,Aqua Jet
Blastoise,Aqua Tail
Blastoise,Avalanche
Blastoise,Bite
Blastoise,Blizzard
Blastoise,Brick Break
Blastoise,Bubble Beam
Blastoise,Bulldoze
Blastoise,Crunch
Blastoise,Dark Pulse
Blastoise,Dig
Blastoise,Earthquake
Blastoise,Flash Cannon
Blastoise,Focus Blast
Blastoise,Giga Impact
Blastoise,Hydro Pump
Blastoise,Hyper Beam
Blastoise,Ice Beam
Blastoise,Ice Punch
Blastoise,Iron Tail
Blastoise,Megahorn
Blastoise,Mud Shot
Blastoise,Rock Slide
Blastoise,Rock Tomb
Blastoise,Stone Edge
Blastoise,Surf
Blastoise,Tackle
Blastoise,Water Gun
Blastoise,Waterfall
Caterpie,Bug Bite
Caterpie,Tackle
Metapod,Tackle
Butterfree,Aerial Ace
Butterfree,Air Slash
Butterfree,Bug Bite
Butterfree,Bug Buzz
Butterfree,Confusion
Butterfree,Dazzling Gleam
Butterfree,Energy Ball
Butterfree,Giga Drain
Butterfree,Gust
Butterfree,Hyper Beam
Butterfree,Psybeam
Butterfree,Psychic
Butterfree,Shadow Ball
Butterfree,Signal Beam
Butterfree,Silver Wind
Butterfree,Solar Beam
Butterfree,Tackle
Butterfree,Thunder
Butterfree,Thunderbolt
Weedle,Bug Bite
Weedle,Poison Sting
Kakuna,Poison Sting
Beedrill,Aerial Ace
Beedrill,Brick Break
Beedrill,Bug Bite
Beedrill,Drill Run
Beedrill,Fury Cutter
Beedrill,Giga Impact
Beedrill,Hyper Beam
Beedrill,Knock Off
Beedrill,Outrage
Beedrill,Poison Jab
Beedrill,Poison Sting
Beedrill,Pursuit
Beedrill,Sludge Bomb
Beedrill,X-Scissor
Pidgey,Aerial Ace
Pidgey,Air Cutter
Pidgey,Air Slash
Pidgey,Brave Bird
Pidgey,Double-Edge
Pidgey,Feint Attack
Pidgey,Gust
Pidgey,Hurricane
Pidgey,Hyper Beam
Pidgey,Quick Attack
Pidgey,Swift
Pidgey,Tackle
Pidgey,Twister
Pidgey,Wing Attack
Pidgeotto,Aerial Ace
Pidgeotto,Air Cutter
Pidgeotto,Air Slash
Pidgeotto,Brave Bird
Pidgeotto,Double-Edge
Pidgeotto,Feint Attack
Pidgeotto,Gust
Pidgeotto,Hurricane
Pidgeotto,Hyper Beam
Pidgeotto,Quick Attack
Pidgeotto,Swift
Pidgeotto,Tackle
Pidgeotto,Twister
Pidgeotto,Wing Attack
Pidgeot,Aerial Ace
Pidgeot,Air Cutter
Pidgeot,Air Slash
Pidgeot,Brave Bird
Pidgeot,Double-Edge
Pidgeot,Feint Attack
Pidgeot,Giga Impact
Pidgeot,Gust
Pidgeot,Heat Wave
Pidgeot,Hurricane
Pidgeot,Hyper Beam
Pidgeot,Quick Attack
Pidgeot,Swift
Pidgeot,Tackle
Pidgeot,Twister
Pidgeot,Wing Attack
Pikachu,Aerial Ace
Pikachu,Brick Break
Pikachu,Dig
Pikachu,Discharge
Pikachu,Hyper Beam
Pikachu,Iron Tail
Pikachu,Knock Off
Pikachu,Mud Slap
Pikachu,Quick Attack
Pikachu,Spark
Pikachu,Surf
Pikachu,Tackle
Pikachu,Thunder
Pikachu,Thunder Punch
Pikachu,Thunder Shock
Pikachu,Thunderbolt
Pikachu,Volt Tackle
Pikachu,Wild Charge
Raichu,Brick Break
Raichu,Dig
Raichu,Discharge
Raichu,Focus Blast
Raichu,Giga Impact
Raichu,Hyper Beam
Raichu,Iron Tail
Raichu,Knock Off
Raichu,Mud Slap
Raichu,Quick Attack
Raichu,Signal Beam
Raichu,Spark
Raichu,Surf
Raichu,Thunder
Raichu,Thunder Punch
Raichu,Thunder Shock
Raichu,Thunderbolt
Raichu,Wild Charge
Raichu,Zen Headbutt
Nidoranf,Bite
Nidoranf,Crunch
Nidoranf,Poison Fang
Nidoranf,Poison Sting
Nidoranf,Tackle
Nidorina,Bite
Nidorina,Crunch
Nidorina,Poison Fang
Nidorina,Poison Sting
Nidorina,Tackle
Nidoqueen,Avalanche
Nidoqueen,Blizzard
Nidoqueen,Bulldoze
Nidoqueen,Crunch
Nidoqueen,Drill Run
Nidoqueen,Earth Power
Nidoqueen,Earthquake
Nidoqueen,Fire Blast
Nidoqueen,Flamethrower
Nidoqueen,Giga Impact
Nidoqueen,Hyper Beam
Nidoqueen,Ice Beam
Nidoqueen,Ice Punch
Nidoqueen,Mud Bomb
Nidoqueen,Mud Shot
Nidoqueen,Mud Slap
Nidoqueen,Poison Fang
Nidoqueen,Poison Jab
Nidoqueen,Poison Sting
Nidoqueen,Rock Slide
Nidoqueen,Rock Tomb
Nidoqueen,Sludge Bomb
Nidoqueen,Sludge Wave
Nidoqueen,Stone Edge
Nidoqueen,Surf
Nidoqueen,Thunder
Nidoqueen,Thunderbolt
Nidoranm,Peck
Nidoranm,Poison Sting
Nidoranm,Tackle
Nidorino,Peck
Nidorino,Poison Jab
Nidorino,Poison Sting
Nidorino,Tackle
Nidoking,Avalanche
Nidoking,Blizzard
Nidoking,Bulldoze
Nidoking,Crunch
Nidoking,Drill Run
Nidoking,Earth Power
Nidoking,Earthquake
Nidoking,Fire Blast
Nidoking,Flamethrower
Nidoking,Focus Blast
Nidoking,Giga Impact
Nidoking,Hyper Beam
Nidoking,Ice Beam
Nidoking,Ice Punch
Nidoking,Iron Tail
Nidoking,Megahorn
Nidoking,Mud Shot
Nidoking,Outrage
Nidoking,Peck
Nidoking,Poison Jab
Nidoking,Poison Sting
Nidoking,Rock Slide
Nidoking,Rock Tomb
Nidoking,Sludge Bomb
Nidoking,Sludge Wave
Nidoking,Stone Edge
Nidoking,Surf
Nidoking,Thunder
Nidoking,Thunder Punch
Nidoking,Thunderbolt
Clefairy,Bulldoze
Clefairy,Dazzling Gleam
Clefairy,Disarming Voice
Clefairy,Draining Kiss
Clefairy,Fire Blast
Clefairy,Fire Punch
Clefairy,Flamethrower
Clefairy,Focus Blast
Clefairy,Ice Beam
Clefairy,Ice Punch
Clefairy,Meteor Mash
Clefairy,Moonblast
Clefairy,Psychic
Clefairy,Shadow Ball
Clefairy,Signal Beam
Clefairy,Solar Beam
Clefairy,Thunder
Clefairy,Thunder Punch
Clefairy,Thunderbolt
Clefairy,Zen Headbutt
Clefable,Bulldoze
Clefable,Dazzling Gleam
Clefable,Fire Blast
Clefable,Fire Punch
Clefable,Flamethrower
Clefable,Focus Blast
Clefable,Giga Impact
Clefable,Hyper Beam
Clefable,Ice Beam
Clefable,Ice Punch
Clefable,Meteor Mash
Clefable,Moonblast
Clefable,Psychic
Clefable,Shadow Ball
Clefable,Signal Beam
Clefable,Solar Beam
Clefable,Thunder
Clefable,Thunder Punch
Clefable,Thunderbolt
Clefable,Zen Headbutt
Zubat,Aerial Ace
Zubat,Air Cutter
Zubat,Air Slash
Zubat,Astonish
Zubat,Bite
Zubat,Brave Bird
Zubat,Crunch
Zubat,Giga Drain
Zubat,Gust
Zubat,Hex
Zubat,Poison Fang
Zubat,Pursuit
Zubat,Quick Attack
Zubat,Wing Attack
Zubat,X-Scissor
Golbat,Aerial Ace
Golbat,Air Cutter
Golbat,Air Slash
Golbat,Astonish
Golbat,Bite
Golbat,Brave Bird
Golbat,Crunch
Golbat,Giga Drain
Golbat,Gust
Golbat,Hex
Golbat,Hyper Beam
Golbat,Poison Fang
Golbat,Pursuit
Golbat,Quick Attack
Golbat,Shadow Ball
Golbat,Sludge Bomb
Golbat,Wing Attack
Golbat,X-Scissor
Growlithe,Bite
Growlithe,Crunch
Growlithe,Dig
Growlithe,Ember
Growlithe,Fire Blast
Growlithe,Fire Fang
Growlithe,Flame Wheel
Growlithe,Flamethrower
Growlithe,Flare Blitz
Growlithe,Heat Wave
Growlithe,Iron Tail
Growlithe,Outrage
Growlithe,Quick Attack
Growlithe,Solar Beam
Growlithe,Wild Charge
Arcanine,Aerial Ace
Arcanine,Bite
Arcanine,Bulldoze
Arcanine,Close Combat
Arcanine,Crunch
Arcanine,Dig
Arcanine,Dragon Pulse
Arcanine,Ember
Arcanine,Fire Blast
Arcanine,Fire Fang
Arcanine,Flame Wheel
Arcanine,Flamethrower
Arcanine,Flare Blitz
Arcanine,Giga Impact
Arcanine,Heat Wave
Arcanine,Hyper Beam
Arcanine,Iron Tail
Arcanine,Outrage
Arcanine,Quick Attack
Arcanine,Snarl
Arcanine,Solar Beam
Arcanine,Stone Edge
Arcanine,Wild Charge
Abra,Confusion
Abra,Psybeam
Abra,Psychic
Abra,Psyshock
Abra,Shadow Ball
Kadabra,Confusion
Kadabra,Dazzling Gleam
Kadabra,Fire Punch
Kadabra,Focus Blast
Kadabra,Future Sight
Kadabra,Ice Punch
Kadabra,Knock Off
Kadabra,Psybeam
Kadabra,Psychic
Kadabra,Psyshock
Kadabra,Shadow Ball
Kadabra,Signal Beam
Kadabra,Thunder Punch
Kadabra,Zen Headbutt
Alakazam,Confusion
Alakazam,Dazzling Gleam
Alakazam,Energy Ball
Alakazam,Fire Punch
Alakazam,Focus Blast
Alakazam,Future Sight
Alakazam,Giga Impact
Alakazam,Hyper Beam
Alakazam,Ice Punch
Alakazam,Knock Off
Alakazam,Psybeam
Alakazam,Psychic
Alakazam,Psyshock
Alakazam,Shadow Ball
Alakazam,Signal Beam
Alakazam,Thunder Punch
Alakazam,Zen Headbutt
Machop,Brick Break
Machop,Bulldoze
Machop,Close Combat
Machop,Cross Chop
Machop,Dig
Machop,Earthquake
Machop,Fire Punch
Machop,Focus Blast
Machop,Ice Punch
Machop,Karate Chop
Machop,Knock Off
Machop,Low Kick
Machop,Rock Slide
Machop,Rock Tomb
Machop,Stone Edge
Machop,Thunder Punch
Machop,Vacuum Wave
Machoke,Brick Break
Machoke,Bulldoze
Machoke,Bullet Punch
Machoke,Close Combat
Machoke,Cross Chop
Machoke,Dig
Machoke,Earthquake
Machoke,Fire Punch
Machoke,Focus Blast
Machoke,Hyper Beam
Machoke,Ice Punch
Machoke,Karate Chop
Machoke,Knock Off
Machoke,Low Kick
Machoke,Rock Slide
Machoke,Rock Tomb
Machoke,Stone Edge
Machoke,Thunder Punch
Machoke,Vacuum Wave
Machamp,Brick Break
Machamp,Bulldoze
Machamp,Bullet Punch
Machamp,Close Combat
Machamp,Cross Chop
Machamp,Dig
Machamp,Earthquake
Machamp,Fire Punch
Machamp,Focus Blast
Machamp,Giga Impact
Machamp,Hyper Beam
Machamp,Ice Punch
Machamp,Karate Chop
Machamp,Knock Off
Machamp,Low Kick
Machamp,Poison Jab
Machamp,Rock Slide
Machamp,Rock Tomb
Machamp,Stone Edge
Machamp,Thunder Punch
Machamp,Vacuum Wave
Tentacool,Acid
Tentacool,Blizzard
Tentacool,Bubble Beam
Tentacool,Giga Drain
Tentacool,Hex
Tentacool,Hydro Pump
Tentacool,Ice Beam
Tentacool,Knock Off
Tentacool,Mud Shot
Tentacool,Poison Jab
Tentacool,Poison Sting
Tentacool,Sludge
Tentacool,Sludge Bomb
Tentacool,Sludge Wave
Tentacool,Surf
Tentacool,Water Gun
Tentacruel,Acid
Tentacruel,Avalanche
Tentacruel,Blizzard
Tentacruel,Bubble Beam
Tentacruel,Dazzling Gleam
Tentacruel,Giga Drain
Tentacruel,Giga Impact
Tentacruel,Hex
Tentacruel,Hydro Pump
Tentacruel,Hyper Beam
Tentacruel,Ice Beam
Tentacruel,Icy Wind
Tentacruel,Knock Off
Tentacruel,Mud Shot
Tentacruel,Poison Jab
Tentacruel,Poison Sting
Tentacruel,Sludge
Tentacruel,Sludge Bomb
Tentacruel,Sludge Wave
Tentacruel,Surf
Tentacruel,Water Gun
Tentacruel,Waterfall
Tentacruel,X-Scissor
Geodude,Ancient Power
Geodude,Brick Break
Geodude,Bulldoze
Geodude,Dig
Geodude,Earth Power
Geodude,Earthquake
Geodude,Fire Punch
Geodude,Focus Blast
Geodude,Mud Shot
Geodude,Rock Slide
Geodude,Rock Throw
Geodude,Rock Tomb
Geodude,Rollout
Geodude,Stone Edge
Geodude,Tackle
Geodude,Thunder Punch
Graveler,Ancient Power
Graveler,Brick Break
Graveler,Bulldoze
Graveler,Dig
Graveler,Earth Power
Graveler,Earthquake
Graveler,Fire Punch
Graveler,Focus Blast
Graveler,Hyper Beam
Graveler,Mud Shot
Graveler,Rock Slide
Graveler,Rock Throw
Graveler,Rock Tomb
Graveler,Rollout
Graveler,Stone Edge
Graveler,Tackle
Graveler,Thunder Punch
Golem,Ancient Power
Golem,Brick Break
Golem,Bulldoze
Golem,Dig
Golem,Earth Power
Golem,Earthquake
Golem,Fire Punch
Golem,Flash Cannon
Golem,Focus Blast
Golem,Giga Impact
Golem,Hyper Beam
Golem,Iron Head
Golem,Mud Shot
Golem,Rock Slide
Golem,Rock Throw
Golem,Rock Tomb
Golem,Rollout
Golem,Steel Beam
Golem,Stone Edge
Golem,Tackle
Golem,Thunder Punch
Slowpoke,Aqua Tail
Slowpoke,Avalanche
Slowpoke,Blizzard
Slowpoke,Bubble Beam
Slowpoke,Confusion
Slowpoke,Disarming Voice
Slowpoke,Earthquake
Slowpoke,Fire Blast
Slowpoke,Flamethrower
Slowpoke,Future Sight
Slowpoke,Hyper Beam
Slowpoke,Ice Beam
Slowpoke,Ice Punch
Slowpoke,Iron Tail
Slowpoke,Mud Shot
Slowpoke,Psybeam
Slowpoke,Psychic
Slowpoke,Psyshock
Slowpoke,Shadow Ball
Slowpoke,Signal Beam
Slowpoke,Surf
Slowpoke,Tackle
Slowpoke,Thunder
Slowpoke,Thunder Punch
Slowpoke,Thunderbolt
Slowpoke,Water Gun
Slowpoke,Waterfall
Slowpoke,Zen Headbutt
Slowbro,Aqua Tail
Slowbro,Avalanche
Slowbro,Blizzard
Slowbro,Bubble Beam
Slowbro,Confusion
Slowbro,Disarming Voice
Slowbro,Earthquake
Slowbro,Fire Blast
Slowbro,Flamethrower
Slowbro,Focus Blast
Slowbro,Future Sight
Slowbro,Giga Impact
Slowbro,Hyper Beam
Slowbro,Ice Beam
Slowbro,Ice Punch
Slowbro,Iron Tail
Slowbro,Mud Shot
Slowbro,Psybeam
Slowbro,Psychic
Slowbro,Psyshock
Slowbro,Shadow Ball
Slowbro,Signal Beam
Slowbro,Surf
Slowbro,Tackle
Slowbro,Thunder
Slowbro,Thunder Punch
Slowbro,Thunderbolt
Slowbro,Water Gun
Slowbro,Waterfall
Slowbro,Zen Headbutt
Magnemite,Discharge
Magnemite,Flash Cannon
Magnemite,Magnet Bomb
Magnemite,Mirror Shot
Magnemite,Signal Beam
Magnemite,Spark
Magnemite,Steel Beam
Magnemite,Tackle
Magnemite,Thunder
Magnemite,Thunder Punch
Magnemite,Thunder Shock
Magnemite,Thunderbolt
Magnemite,Wild Charge
Magneton,Discharge
Magneton,Flash Cannon
Magneton,Hyper Beam
Magneton,Magnet Bomb
Magneton,Mirror Shot
Magneton,Signal Beam
Magneton,Spark
Magneton,Steel Beam
Magneton,Tackle
Magneton,Thunder
Magneton,Thunder Punch
Magneton,Thunder Shock
Magneton,Thunderbolt
Magneton,Wild Charge
Grimer,Acid
Grimer,Brick Break
Grimer,Crunch
Grimer,Fire Blast
Grimer,Fire Punch
Grimer,Flamethrower
Grimer,Focus Blast
Grimer,Gunk Shot
Grimer,Ice Punch
Grimer,Knock Off
Grimer,Lick
Grimer,Mud Bomb
Grimer,Poison Fang
Grimer,Poison Jab
Grimer,Poison Sting
Grimer,Pursuit
Grimer,Shadow Punch
Grimer,Sludge
Grimer,Sludge Bomb
Grimer,Sludge Wave
Grimer,Snarl
Grimer,Thunder Punch
Muk,Acid
Muk,Brick Break
Muk,Crunch
Muk,Fire Blast
Muk,Fire Punch
Muk,Flamethrower
Muk,Focus Blast
Muk,Giga Impact
Muk,Gunk Shot
Muk,Hyper Beam
Muk,Ice Punch
Muk,Knock Off
Muk,Lick
Muk,Mud Bomb
Muk,Poison Fang
Muk,Poison Jab
Muk,Poison Sting
Muk,Pursuit
Muk,Rock Slide
Muk,Shadow Punch
Muk,Sludge
Muk,Sludge Bomb
Muk,Sludge Wave
Muk,Snarl
Muk,Stone Edge
Muk,Thunder Punch
Shellder,Aqua Jet
Shellder,Avalanche
Shellder,Bubble Beam
Shellder,Hydro Pump
Shellder,Ice Beam
Shellder,Ice Shard
Shellder,Icicle Crash
Shellder,Icy Wind
Shellder,Surf
Shellder,Tackle
Shellder,Water Gun
Shellder,Waterfall
Cloyster,Aqua Jet
Cloyster,Avalanche
Cloyster,Blizzard
Cloyster,Bubble Beam
Cloyster,Drill Run
Cloyster,Giga Impact
Cloyster,Hydro Pump
Cloyster,Hyper Beam
Cloyster,Ice Beam
Cloyster,Ice Shard
Cloyster,Icicle Crash
Cloyster,Icy Wind
Cloyster,Surf
Cloyster,Tackle
Cloyster,Water Gun
Cloyster,Waterfall
Gastly,Dark Pulse
Gastly,Dazzling Gleam
Gastly,Energy Ball
Gastly,Giga Drain
Gastly,Hex
Gastly,Lick
Gastly,Night Shade
Gastly,Poison Jab
Gastly,Psybeam
Gastly,Psychic
Gastly,Pursuit
Gastly,Shadow Ball
Gastly,Sludge
Gastly,Sludge Bomb
Gastly,Sludge Wave
Gastly,Snarl
Gastly,Thunder
Gastly,Thunderbolt
Haunter,Dark Pulse
Haunter,Dazzling Gleam
Haunter,Energy Ball
Haunter,Giga Drain
Haunter,Hex
Haunter,Lick
Haunter,Night Shade
Haunter,Phantom Force
Haunter,Poison Jab
Haunter,Psybeam
Haunter,Psychic
Haunter,Pursuit
Haunter,Shadow Ball
Haunter,Shadow Claw
Haunter,Shadow Punch
Haunter,Sludge
Haunter,Sludge Bomb
Haunter,Sludge Wave
Haunter,Snarl
Haunter,Thunder
Haunter,Thunder Punch
Haunter,Thunderbolt
Gengar,Dark Pulse
Gengar,Dazzling Gleam
Gengar,Energy Ball
Gengar,Fire Punch
Gengar,Focus Blast
Gengar,Giga Drain
Gengar,Giga Impact
Gengar,Hex
Gengar,Hyper Beam
Gengar,Ice Punch
Gengar,Lick
Gengar,Night Shade
Gengar,Phantom Force
Gengar,Poison Jab
Gengar,Psybeam
Gengar,Psychic
Gengar,Pursuit
Gengar,Shadow Ball
Gengar,Shadow Claw
Gengar,Shadow Punch
Gengar,Sludge
Gengar,Sludge Bomb
Gengar,Sludge Wave
Gengar,Snarl
Gengar,Thunder
Gengar,Thunder Punch
Gengar,Thunderbolt
Onix,Bulldoze
Onix,Dig
Onix,Dragon Breath
Onix,Earthquake
Onix,Fire Fang
Onix,Flash Cannon
Onix,Hyper Beam
Onix,Iron Head
Onix,Iron Tail
Onix,Rock Slide
Onix,Rock Throw
Onix,Rock Tomb
Onix,Rollout
Onix,Stone Edge
Onix,Tackle
Krabby,Aqua Jet
Krabby,Brick Break
Krabby,Bubble Beam
Krabby,Dig
Krabby,Knock Off
Krabby,Metal Claw
Krabby,Mud Shot
Krabby,Rock Slide
Krabby,Rock Tomb
Krabby,Stone Edge
Krabby,Surf
Krabby,Water Gun
Krabby,Waterfall
Krabby,X-Scissor
Kingler,Aqua Jet
Kingler,Avalanche
Kingler,Blizzard
Kingler,Brick Break
Kingler,Bubble Beam
Kingler,Dig
Kingler,Giga Impact
Kingler,Hyper Beam
Kingler,Ice Beam
Kingler,Knock Off
Kingler,Metal Claw
Kingler,Mud Shot
Kingler,Rock Slide
Kingler,Rock Tomb
Kingler,Stone Edge
Kingler,Surf
Kingler,Water Gun
Kingler,Waterfall
Kingler,X-Scissor
Koffing,Dark Pulse
Koffing,Fire Blast
Koffing,Flamethrower
Koffing,Sludge
Koffing,Sludge Bomb
Koffing,Sludge Wave
Koffing,Tackle
Weezing,Dark Pulse
Weezing,Fire Blast
Weezing,Flamethrower
Weezing,Giga Impact
Weezing,Hyper Beam
Weezing,Sludge
Weezing,Sludge Bomb
Weezing,Sludge Wave
Weezing,Tackle
Rhyhorn,Bulldoze
Rhyhorn,Crunch
Rhyhorn,Dig
Rhyhorn,Drill Run
Rhyhorn,Earth Power
Rhyhorn,Earthquake
Rhyhorn,Fire Fang
Rhyhorn,Fire Punch
Rhyhorn,Flamethrower
Rhyhorn,Ice Punch
Rhyhorn,Iron Head
Rhyhorn,Iron Tail
Rhyhorn,Megahorn
Rhyhorn,Mud Shot
Rhyhorn,Mud Slap
Rhyhorn,Rock Slide
Rhyhorn,Rock Tomb
Rhyhorn,Stone Edge
Rhyhorn,Surf
Rhyhorn,Tackle
Rhyhorn,Thunder
Rhyhorn,Thunder Punch
Rhyhorn,Thunderbolt
Rhydon,Brick Break
Rhydon,Bulldoze
Rhydon,Crunch
Rhydon,Dig
Rhydon,Drill Run
Rhydon,Earth Power
Rhydon,Earthquake
Rhydon,Fire Fang
Rhydon,Fire Punch
Rhydon,Flamethrower
Rhydon,Focus Blast
Rhydon,Hyper Beam
Rhydon,Ice Punch
Rhydon,Iron Head
Rhydon,Iron Tail
Rhydon,Megahorn
Rhydon,Mud Shot
Rhydon,Mud Slap
Rhydon,Outrage
Rhydon,Rock Slide
Rhydon,Rock Tomb
Rhydon,Stone Edge
Rhydon,Surf
Rhydon,Tackle
Rhydon,Thunder
Rhydon,Thunder Punch
Rhydon,Thunderbolt
Chansey,Body Slam
Chansey,Disarming Voice
Chansey,Double-Edge
Chansey,Fire Blast
Chansey,Flamethrower
Chansey,Focus Blast
Chansey,Hyper Beam
Chansey,Hyper Voice
Chansey,Ice Beam
Chansey,Psychic
Chansey,Shadow Ball
Chansey,Solar Beam
Chansey,Thunder
Chansey,Thunderbolt
Tangela,Ancient Power
Tangela,Energy Ball
Tangela,Giga Drain
Tangela,Knock Off
Tangela,Mega Drain
Tangela,Poison Jab
Tangela,Rock Slide
Tangela,Sludge Bomb
Tangela,Solar Beam
Tangela,Vine Whip
Staryu,Blizzard
Staryu,Bubble Beam
Staryu,Dazzling Gleam
Staryu,Hydro Pump
Staryu,Ice Beam
Staryu,Power Gem
Staryu,Psybeam
Staryu,Psychic
Staryu,Psyshock
Staryu,Signal Beam
Staryu,Surf
Staryu,Tackle
Staryu,Thunder
Staryu,Thunderbolt
Staryu,Water Gun
Staryu,Waterfall
Starmie,Blizzard
Starmie,Bubble Beam
Starmie,Dazzling Gleam
Starmie,Giga Impact
Starmie,Hydro Pump
Starmie,Hyper Beam
Starmie,Ice Beam
Starmie,Power Gem
Starmie,Psybeam
Starmie,Psychic
Starmie,Psyshock
Starmie,Signal Beam
Starmie,Surf
Starmie,Tackle
Starmie,Thunder
Starmie,Thunderbolt
Starmie,Water Gun
Starmie,Waterfall
Scyther,Aerial Ace
Scyther,Air Slash
Scyther,Brick Break
Scyther,Bug Bite
Scyther,Bug Buzz
Scyther,Feint Attack
Scyther,Fury Cutter
Scyther,Knock Off
Scyther,Night Slash
Scyther,Pursuit
Scyther,Quick Attack
Scyther,Tackle
Scyther,Wing Attack
Scyther,X-Scissor
Pinsir,Brick Break
Pinsir,Bug Bite
Pinsir,Close Combat
Pinsir,Earthquake
Pinsir,Feint Attack
Pinsir,Fury Cutter
Pinsir,Giga Impact
Pinsir,Hyper Beam
Pinsir,Knock Off
Pinsir,Megahorn
Pinsir,Rock Slide
Pinsir,Rock Tomb
Pinsir,Stone Edge
Pinsir,X-Scissor
Magikarp,Tackle
Gyarados,Aqua Tail
Gyarados,Avalanche
Gyarados,Bite
Gyarados,Blizzard
Gyarados,Bubble Beam
Gyarados,Crunch
Gyarados,Dark Pulse
Gyarados,Dragon Breath
Gyarados,Dragon Pulse
Gyarados,Dragon Tail
Gyarados,Earthquake
Gyarados,Fire Blast
Gyarados,Flamethrower
Gyarados,Giga Impact
Gyarados,Hurricane
Gyarados,Hydro Pump
Gyarados,Hyper Beam
Gyarados,Ice Beam
Gyarados,Iron Head
Gyarados,Iron Tail
Gyarados,Outrage
Gyarados,Stone Edge
Gyarados,Surf
Gyarados,Tackle
Gyarados,Thunder
Gyarados,Thunderbolt
Gyarados,Twister
Gyarados,Waterfall
Lapras,Aqua Tail
Lapras,Avalanche
Lapras,Blizzard
